x	y	z
-0.364413  -0.118534  -1.031269
-0.364108  -0.118435  -1.030404
-0.365706  -0.118955  -1.034928
-0.367150  -0.125639  -1.039015
-0.360862  -0.125614  -1.038801
-0.351750  -0.124587  -1.030310
-0.303800  -0.120835  -0.999280
-0.286374  -0.124434  -0.980543
-0.238727  -0.127559  -0.959929
-0.209653  -0.127337  -0.958256
-0.191401  -0.127587  -0.960140
-0.162398  -0.117481  -0.925755
-0.137045  -0.114797  -0.904607
-0.106465  -0.117802  -0.886500
-0.076137  -0.124339  -0.858418
-0.047402  -0.116792  -0.806316
-0.016301  -0.119419  -0.761558
0.006504  -0.119968  -0.765060
0.030286  -0.119017  -0.758994
0.035765  -0.126890  -0.779471
0.067178  -0.123660  -0.752713
0.093564  -0.125805  -0.738872
0.117126  -0.131874  -0.748232
0.141736  -0.132920  -0.754162
0.160665  -0.142208  -0.780378
0.159869  -0.145737  -0.799745
0.173303  -0.144970  -0.795538
0.181787  -0.144151  -0.791044
0.207865  -0.165035  -0.777970
0.224225  -0.162558  -0.766293
0.224413  -0.166090  -0.782941
0.255638  -0.166705  -0.764291
0.325028  -0.189848  -0.760857
0.330948  -0.190636  -0.764017
0.345933  -0.199852  -0.764311
0.359875  -0.199979  -0.764795
0.371188  -0.201152  -0.769280
0.382518  -0.209894  -0.802712
