x	y	z
-0.377717  0.261624  -1.398585
-0.385205  0.269258  -1.396842
-0.385507  0.269469  -1.397937
-0.392187  0.278513  -1.393369
-0.390979  0.283591  -1.389077
-0.383305  0.285749  -1.389950
-0.368412  0.286486  -1.393534
-0.367393  0.293612  -1.389679
-0.359067  0.293279  -1.388101
-0.358243  0.300497  -1.384918
-0.354854  0.328922  -1.371818
-0.350479  0.340306  -1.354902
-0.342764  0.340312  -1.354922
-0.340243  0.347389  -1.344959
-0.339833  0.346970  -1.343339
-0.338093  0.347148  -1.344028
-0.337851  0.346900  -1.343066
-0.335870  0.360082  -1.335190
-0.328026  0.359823  -1.334231
-0.324194  0.385675  -1.318647
-0.322865  0.391576  -1.313239
-0.321381  0.397225  -1.307203
-0.321480  0.391759  -1.307604
-0.312511  0.395427  -1.301284
-0.289048  0.395613  -1.295823
-0.278579  0.405884  -1.281626
-0.267997  0.415407  -1.266134
-0.259136  0.412785  -1.258141
-0.256137  0.415093  -1.243579
-0.251435  0.417315  -1.229253
-0.241832  0.419808  -1.216182
-0.232778  0.416013  -1.205188
-0.217005  0.412141  -1.193972
-0.202344  0.403237  -1.187782
-0.189029  0.390156  -1.189170
-0.186440  0.398180  -1.172886
-0.183799  0.396089  -1.166727
-0.176002  0.393520  -1.159162
-0.167851  0.396473  -1.148580
-0.159994  0.393249  -1.139240
-0.146337  0.384982  -1.134012
-0.139231  0.376778  -1.128791
-0.132508  0.369533  -1.126313
-0.124337  0.377051  -1.110650
-0.124738  0.365569  -1.114232
-0.117758  0.363623  -1.108299
-0.117666  0.350719  -1.107436
-0.109369  0.343124  -1.103305
-0.095679  0.345378  -1.090572
-0.082790  0.337288  -1.084538
-0.076214  0.329396  -1.078931
-0.069681  0.327585  -1.072998
-0.063433  0.320793  -1.070734
-0.063246  0.318328  -1.067584
-0.056824  0.317952  -1.061254
-0.030727  0.312408  -1.047732
-0.024620  0.310675  -1.041917
-0.012656  0.308476  -1.034543
-0.012622  0.301773  -1.031782
-0.012621  0.301756  -1.031721
-0.006739  0.295712  -1.031146
-0.006770  0.285305  -1.036029
0.012265  0.281845  -1.023463
0.018072  0.269809  -1.022051
0.031104  0.276291  -1.069694
0.067200  0.596915  -2.311033
0.109951  0.780602  -3.161697
0.141814  0.880047  -3.503831
0.048048  0.277874  -1.187125
0.053243  0.222721  -1.026468
0.062143  0.228070  -1.079465
0.041883  0.193577  -1.034817
0.060289  0.202820  -1.021968
0.053672  0.193561  -1.034735
0.044600  0.278183  -1.533825
0.024706  0.179613  -1.056737
0.037891  0.185193  -1.089567
0.053918  0.176679  -1.039477
0.048443  0.172350  -1.049177
0.066780  0.175459  -1.032300
0.072545  0.169303  -1.030630
0.083990  0.168701  -1.026966
0.089291  0.161851  -1.020667
0.116896  0.152222  -0.995726
0.127310  0.156745  -0.988473
0.137865  0.155943  -0.983413
0.143102  0.149956  -0.980902
0.153943  0.142656  -0.978753
0.160807  0.142561  -0.978102
0.166322  0.136940  -0.977760
0.166350  0.125818  -0.977922
0.166141  0.120095  -0.976698
0.166660  0.114887  -0.979747
0.171863  0.109064  -0.977585
0.163286  0.105144  -0.993179
0.168257  0.104716  -0.989136
0.167574  0.086774  -0.993440
0.164322  0.076575  -1.008218
0.173572  0.069361  -0.987306
0.176460  0.064796  -1.003736
0.183525  0.059513  -1.011147
0.184399  0.059797  -1.015965
0.185114  0.054217  -1.019904
0.185716  0.041275  -1.023223
0.186160  0.029685  -1.025665
0.186667  0.023906  -1.028462
0.191141  0.017915  -1.021055
0.195984  0.017827  -1.015999
0.199037  0.011874  -1.002222
0.192853  0.000466  -1.030201
0.197238  -0.018473  -1.022501
0.196779  -0.022790  -1.020123
0.189001  -0.024747  -1.041321
0.193123  -0.024517  -1.031642
0.203259  -0.030155  -1.023482
0.208599  -0.030084  -1.021076
0.209374  -0.036035  -1.024868
0.215110  -0.041855  -1.024376
0.215928  -0.053732  -1.028269
0.201627  -0.066532  -1.045255
0.212022  -0.073451  -1.037829
0.212673  -0.073677  -1.041016
0.197689  -0.077086  -1.089185
0.192456  -0.077478  -1.094721
0.199139  -0.083903  -1.097174
0.205840  -0.084087  -1.099578
0.225914  -0.094531  -1.075822
0.223092  -0.114621  -1.092019
0.229608  -0.127228  -1.093413
0.220795  -0.129365  -1.111782
0.221705  -0.131489  -1.116365
0.228087  -0.131501  -1.116466
0.223773  -0.139136  -1.126778
0.236783  -0.139235  -1.127583
0.219115  -0.140264  -1.135912
0.244585  -0.152946  -1.133965
0.240287  -0.154336  -1.144270
0.254843  -0.160784  -1.143757
0.256509  -0.168395  -1.151232
0.264112  -0.169063  -1.155800
0.288494  -0.167921  -1.147995
0.280968  -0.151289  -1.171155
0.295185  -0.151736  -1.174619
0.308555  -0.157567  -1.168224
0.311569  -0.145662  -1.179633
0.319068  -0.139281  -1.182517
0.337239  -0.136767  -1.175393
0.332099  -0.137412  -1.180933
0.361775  -0.129264  -1.168117
0.367934  -0.129090  -1.166541
0.376142  -0.129055  -1.166228
0.382559  -0.122337  -1.165532
0.399098  -0.121308  -1.155733
0.409813  -0.114039  -1.148846
0.406023  -0.095046  -1.156699
0.407017  -0.101886  -1.159529
0.413968  -0.095358  -1.160493
0.419748  -0.088570  -1.158197
0.420407  -0.088709  -1.160017
0.414981  -0.088962  -1.163333
0.420807  -0.088793  -1.161119
0.425310  -0.081771  -1.155379
0.432677  -0.081608  -1.153080
