x	y	z
-0.566305  0.066245  -0.804852
-0.566724  0.066294  -0.805447
-0.560376  0.066254  -0.804965
-0.522072  0.065668  -0.797850
-0.472271  0.064881  -0.788287
-0.428663  0.074285  -0.788168
-0.380455  0.093144  -0.778608
-0.332987  0.096501  -0.768318
-0.305346  0.096830  -0.770931
-0.260429  0.072015  -0.764087
-0.200793  0.061739  -0.750111
-0.150995  0.057486  -0.753077
-0.125274  0.039119  -0.767703
-0.120846  0.029988  -0.768696
-0.097042  0.030080  -0.771046
-0.083719  0.030257  -0.775587
-0.073616  0.025737  -0.778947
-0.011953  0.021033  -0.777022
0.013207  0.007571  -0.827054
0.131114  0.060361  -2.861090
0.047959  0.008475  -0.925884
0.078308  -0.013362  -0.823493
0.114579  -0.017618  -0.793710
0.150673  -0.021920  -0.778169
0.155847  -0.017332  -0.780810
0.171441  -0.041030  -0.788194
0.637894  -0.160124  -2.240644
0.663110  -0.155830  -2.180564
0.243752  -0.068194  -0.817607
0.236111  -0.064221  -0.829354
0.269564  -0.083273  -0.821874
0.275235  -0.088427  -0.824159
