x	y	z
-0.317159  -0.076169  -1.064159
-0.316418  -0.075991  -1.061672
-0.322091  -0.077353  -1.080706
-0.301747  -0.073951  -1.033182
-0.301937  -0.073998  -1.033831
-0.272495  -0.069635  -0.972872
-0.251488  -0.072743  -0.937928
-0.236399  -0.071992  -0.928244
-0.236932  -0.072155  -0.930335
-0.225654  -0.072107  -0.929721
-0.201182  -0.071317  -0.919537
-0.189794  -0.076661  -0.917663
-0.184078  -0.088186  -0.923404
-0.171330  -0.090198  -0.944470
-0.158745  -0.089473  -0.936877
-0.147890  -0.089687  -0.939115
-0.148434  -0.087710  -0.979778
-0.127740  -0.093911  -0.925386
-0.097528  -0.096924  -0.901926
-0.080085  -0.102433  -0.902933
-0.063552  -0.101902  -0.898248
-0.047230  -0.102802  -0.894392
-0.008393  -0.107477  -0.888812
-0.003118  -0.108904  -0.900615
0.002447  -0.117463  -0.971397
0.034358  -0.128537  -1.012881
0.034959  -0.143116  -1.030607
0.048363  -0.135067  -0.932485
0.069384  -0.119299  -0.897769
0.081153  -0.131710  -0.909307
0.085700  -0.141118  -0.899936
0.082196  -0.138912  -0.920996
0.089946  -0.139358  -0.888709
0.100236  -0.138885  -0.885697
0.122419  -0.143793  -0.883301
0.160163  -0.160403  -0.880226
0.175930  -0.165642  -0.880087
0.202751  -0.171330  -0.882271
0.220559  -0.182427  -0.884907
0.223680  -0.179641  -0.897427
0.235302  -0.181551  -0.880656
0.249203  -0.180176  -0.873988
0.266767  -0.185804  -0.875875
0.274922  -0.189442  -0.868537
0.290275  -0.190589  -0.867845
0.290292  -0.190600  -0.867895
0.302668  -0.191040  -0.869897
0.304881  -0.197678  -0.876257
0.306261  -0.198572  -0.880223
